stm,pos,size,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loopR.thisRepN,loopR.thisTrialN,loopR.thisN,loopR.thisIndex,loopL.thisRepN,loopL.thisTrialN,loopL.thisN,loopL.thisIndex,Hello.started,Hello.stopped,key_r.started,key_r.stopped,key_gr.started,key_gr.stopped,key_esc_r.keys,key_esc_r.rt,key_esc_r.started,key_esc_r.stopped,fix_right.started,fix_right.stopped,face_r.started,face_r.stopped,key_sel_r.keys,key_sel_r.rt,key_sel_r.started,key_sel_r.stopped,key_l.started,key_l.stopped,key_gl.started,key_gl.stopped,key_esc_l.keys,key_esc_l.rt,key_esc_l.started,key_esc_l.stopped,fix_left.started,fix_left.stopped,face_l.started,face_l.stopped,key_sel_l.keys,key_sel_l.rt,key_sel_l.started,key_sel_l.stopped,bye.started,bye.stopped,sbj,hndns,eye,age,edu,sex,date,expName,psychopyVersion,frameRate,
60.bmp,"(-5.25, -3.05)","(5.24, 5.24)",1,0,1,0,0,23,23,88,,,,,,,,,,,,,,,974.1596004000166,None,974.6594036000315,974.7088499999372,o,0.6337234999518842,974.6594036000315,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
60.bmp,"(-1.74, -3)","(3.49, 3.49)",1,0,1,0,0,24,24,83,,,,,,,,,,,,,,,975.3250313999597,None,975.8247294999892,975.8745525999693,o,0.6273689999943599,975.8247294999892,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
40.bmp,"(0, -6.11)","(5.24, 5.24)",1,0,1,0,0,25,25,63,,,,,,,,,,,,,,,976.4741143999854,None,976.9740939999465,977.0239343999419,o,0.6184196000685915,976.9740939999465,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
10.bmp,"(-1.74, -3)","(3.49, 3.49)",1,0,1,0,0,26,26,18,,,,,,,,,,,,,,,977.6229578999337,None,978.1226226999424,978.1724382999819,o,0.5507983999559656,978.1226226999424,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
60.bmp,"(1.74, -3)","(3.49, 3.49)",1,0,1,0,0,27,27,84,,,,,,,,,,,,,,,978.705091199954,None,979.2052872999338,979.254796299967,o,0.6091114999726415,979.2052872999338,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
0.bmp,"(1.74, 3)","(3.49, 3.49)",1,0,1,0,0,28,28,2,,,,,,,,,,,,,,,979.8378632999957,None,980.3374865000369,980.3872538999422,o,1.2708285000408068,980.3374865000369,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
20.bmp,"(3.49, 0)","(3.49, 3.49)",1,0,1,0,0,29,29,27,,,,,,,,,,,,,,,981.6362674999982,None,982.1360624999506,982.1857199999504,o,0.6375122000463307,982.1360624999506,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
20.bmp,"(0, -6.11)","(5.24, 5.24)",1,0,1,0,0,30,30,37,,,,,,,,,,,,,,,982.8017710000277,None,983.3014702999499,983.3512701999862,o,0.6894359999569133,983.3014702999499,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
60.bmp,"(-1.74, 3)","(3.49, 3.49)",1,0,1,0,0,31,31,81,,,,,,,,,,,,,,,984.0173692000099,None,984.5170275999699,984.566865199944,p,1.4675782999256626,984.5170275999699,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
30.bmp,"(-5.25, -3.05)","(5.24, 5.24)",1,0,1,0,0,32,32,49,,,,,,,,,,,,,,,986.0157791000092,None,986.5154544999823,986.5651719999732,o,1.3562836999772117,986.5154544999823,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
80.bmp,"(-5.25, 3.05)","(5.24, 5.24)",1,0,1,0,0,33,33,113,,,,,,,,,,,,,,,987.8972238999559,None,988.3969859000063,988.4466227999656,o,0.6104822000488639,988.3969859000063,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
0.bmp,"(-1.74, 3)","(3.49, 3.49)",1,0,1,0,0,34,34,3,,,,,,,,,,,,,,,989.0300009000348,None,989.5294957000297,989.5794100000057,p,0.8927527000196278,989.5294957000297,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
60.bmp,"(-3.49, 0)","(3.49, 3.49)",1,0,1,0,0,35,35,82,,,,,,,,,,,,,,,990.4453256999841,None,990.9449015000137,990.9946468999842,p,0.8431195999728516,990.9449015000137,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
10.bmp,"(-5.25, -3.05)","(5.24, 5.24)",1,0,1,0,0,36,36,23,,,,,,,,,,,,,,,991.8105201999424,None,992.3103830999462,992.3601718000136,p,0.7090894000139087,992.3103830999462,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
30.bmp,"(1.74, 3)","(3.49, 3.49)",1,0,1,0,0,37,37,41,,,,,,,,,,,,,,,993.0429323000135,None,993.5427790000103,993.5926365000196,p,0.647736500017345,993.5427790000103,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
