stm,pos,size,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loopR.thisRepN,loopR.thisTrialN,loopR.thisN,loopR.thisIndex,loopL.thisRepN,loopL.thisTrialN,loopL.thisN,loopL.thisIndex,Hello.started,Hello.stopped,key_r.started,key_r.stopped,key_gr.started,key_gr.stopped,key_esc_r.keys,key_esc_r.rt,key_esc_r.started,key_esc_r.stopped,fix_right.started,fix_right.stopped,face_r.started,face_r.stopped,key_sel_r.keys,key_sel_r.rt,key_sel_r.started,key_sel_r.stopped,key_l.started,key_l.stopped,key_gl.started,key_gl.stopped,key_esc_l.keys,key_esc_l.rt,key_esc_l.started,key_esc_l.stopped,fix_left.started,fix_left.stopped,face_l.started,face_l.stopped,key_sel_l.keys,key_sel_l.rt,key_sel_l.started,key_sel_l.stopped,bye.started,bye.stopped,sbj,hndns,eye,age,edu,date,expName,psychopyVersion,frameRate,uhnd
60.bmp,"(0, 0)","(2.18, 2.18)",0,0,0,0,1,2,119,78,,,,,,,,,,,,,,,310.6815316,None,311.1812282,311.2312004,p,1.1256656,311.1812282,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
40.bmp,"(-3.49, 0)","(3.49, 3.49)",0,0,0,0,1,3,120,56,,,,,,,,,,,,,,,312.329823,None,312.8298762,312.8797401,p,0.7899777,312.8298762,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
40.bmp,"(-5.25, -3.05)","(5.24, 5.24)",0,0,0,0,1,4,121,62,,,,,,,,,,,,,,,313.6455796,None,314.1455347,314.1953189,p,0.5365164,314.1455347,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
30.bmp,"(0, 0)","(2.18, 2.18)",0,0,0,0,1,5,122,39,,,,,,,,,,,,,,,314.7115611,None,315.2112317,315.261043,p,0.5199146,315.2112317,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
0.bmp,"(0, -6.11)","(5.24, 5.24)",0,0,0,0,1,6,123,11,,,,,,,,,,,,,,,315.7606766,None,316.2604205,316.3099907,p,0.5798932,316.2604205,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
30.bmp,"(-5.25, -3.05)","(5.24, 5.24)",0,0,0,0,1,7,124,49,,,,,,,,,,,,,,,316.8596041,None,317.3592139,317.4091475,p,0.5199301,317.3592139,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
50.bmp,"(1.74, 3)","(3.49, 3.49)",0,0,0,0,1,8,125,67,,,,,,,,,,,,,,,317.9087179,None,318.4082151,318.458011,p,0.5474984,318.4082151,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
50.bmp,"(3.49, 0)","(3.49, 3.49)",0,0,0,0,1,9,126,66,,,,,,,,,,,,,,,318.9742384,None,319.4741834,319.5237889,p,0.5152491,319.4741834,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
60.bmp,"(-5.25, -3.05)","(5.24, 5.24)",0,0,0,0,1,10,127,88,,,,,,,,,,,,,,,320.0069849,None,320.5066714,320.5565106,p,0.4793154,320.5066714,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
60.bmp,"(-3.49, 0)","(3.49, 3.49)",0,0,0,0,1,11,128,82,,,,,,,,,,,,,,,321.0059609,None,321.5053788,321.5555661,p,0.6135529,321.5053788,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
80.bmp,"(3.49, 0)","(3.49, 3.49)",0,0,0,0,1,12,129,105,,,,,,,,,,,,,,,322.1379423,None,322.6381114,322.6880331,p,0.7659042,322.6381114,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
60.bmp,"(-1.74, -3)","(3.49, 3.49)",0,0,0,0,1,13,130,83,,,,,,,,,,,,,,,323.4203943,None,323.9199198,323.9697734,p,0.4341934,323.9199198,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
50.bmp,"(0, -6.11)","(5.24, 5.24)",0,0,0,0,1,14,131,76,,,,,,,,,,,,,,,324.386311,None,324.8858201,324.9356424,p,0.4684737,324.8858201,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
